City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches(last 3hrs),Snow inches(last 3hrs)
0,Meulaboh,ID,2020-01-05 20:43:48,4.14,96.13,80.4,81,0,6.78,clear sky,0,0
1,Fallon,US,2020-01-05 20:43:48,46.84,-105.12,39.2,48,1,10.29,clear sky,0,0
2,Mareeba,AU,2020-01-05 20:43:48,-16.99,145.42,75.2,88,75,6.93,light intensity shower rain,0,0
3,Rikitea,PF,2020-01-05 20:41:56,-23.12,-134.97,76.03,78,67,15.41,broken clouds,0,0
4,Hermanus,ZA,2020-01-05 20:43:18,-34.42,19.24,64.0,89,100,11.03,overcast clouds,0,0
5,Vaini,IN,2020-01-05 20:43:48,15.34,74.49,66.11,79,0,6.89,clear sky,0,0
6,Brigantine,US,2020-01-05 20:43:49,39.41,-74.36,43.0,41,75,21.92,broken clouds,0,0
7,Yerbogachen,RU,2020-01-05 20:43:49,61.28,108.01,5.65,92,100,10.6,overcast clouds,0,0
8,Thompson,CA,2020-01-05 20:42:05,55.74,-97.86,5.0,92,90,6.93,light snow,0,0
9,Busselton,AU,2020-01-05 20:42:01,-33.64,115.35,57.99,43,0,9.35,clear sky,0,0
10,Atuona,PF,2020-01-05 20:43:49,-9.8,-139.03,80.56,67,0,4.74,clear sky,0,0
11,Bambous Virieux,MU,2020-01-05 20:43:49,-20.34,57.76,73.4,100,75,9.17,heavy intensity rain,0,0
12,Butaritari,KI,2020-01-05 20:43:49,3.07,172.79,85.28,76,100,15.26,moderate rain,0,0
13,Saskylakh,RU,2020-01-05 20:43:49,71.97,114.09,-19.21,94,0,13.09,clear sky,0,0
14,Naifaru,MV,2020-01-05 20:43:50,5.44,73.37,82.22,79,6,12.59,clear sky,0,0
15,Ushuaia,AR,2020-01-05 20:43:00,-54.81,-68.31,50.0,76,75,27.51,shower rain,0,0
16,Bathsheba,BB,2020-01-05 20:43:50,13.22,-59.52,80.6,74,40,10.29,shower rain,0,0
17,Cesme,TR,2020-01-05 20:43:50,38.32,26.31,51.8,62,75,13.87,broken clouds,0,0
18,New Norfolk,AU,2020-01-05 20:43:50,-42.78,147.06,59.0,76,20,9.17,few clouds,0,0
19,Sinnar,IN,2020-01-05 20:43:50,19.85,74.0,59.22,52,0,5.14,clear sky,0,0
20,Ribeira Grande,PT,2020-01-05 20:41:59,38.52,-28.7,64.4,88,40,13.87,scattered clouds,0,0
21,Cherskiy,RU,2020-01-05 20:41:09,68.75,161.3,-7.71,61,5,5.35,clear sky,0,0
22,Hobyo,SO,2020-01-05 20:43:50,5.35,48.53,78.58,79,34,12.19,scattered clouds,0,0
23,Cabo San Lucas,MX,2020-01-05 20:41:52,22.89,-109.91,81.0,42,75,3.36,broken clouds,0,0
24,Port Alfred,ZA,2020-01-05 20:43:51,-33.59,26.89,66.99,91,50,7.05,scattered clouds,0,0
25,Kapaa,US,2020-01-05 20:39:38,22.08,-159.32,78.8,74,40,17.22,scattered clouds,0,0
26,Stockerau,AT,2020-01-05 20:43:51,48.38,16.21,34.0,82,0,8.05,clear sky,0,0
27,Yellowknife,CA,2020-01-05 20:43:51,62.45,-114.38,-13.0,75,20,5.82,few clouds,0,0
28,Jamestown,AU,2020-01-05 20:43:51,-33.21,138.6,56.25,87,89,5.93,light rain,0,0
29,Cape Town,ZA,2020-01-05 20:41:25,-33.93,18.42,68.0,82,75,9.17,broken clouds,0,0
30,Sarh,TD,2020-01-05 20:43:51,9.14,18.39,71.6,49,0,3.31,clear sky,0,0
31,Provideniya,RU,2020-01-05 20:43:51,64.42,-173.23,-10.43,82,100,9.08,overcast clouds,0,0
32,Huarmey,PE,2020-01-05 20:43:51,-10.07,-78.15,78.49,57,82,7.34,broken clouds,0,0
33,Mahon,IE,2020-01-05 20:43:52,51.89,-8.4,46.99,87,75,20.8,broken clouds,0,0
34,Bonfim,GY,2020-01-05 20:43:52,3.36,-59.84,96.06,28,0,8.77,clear sky,0,0
35,Mataura,NZ,2020-01-05 20:43:52,-46.19,168.86,51.01,81,87,24.0,light rain,0,0
36,Padre Paraiso,BR,2020-01-05 20:43:52,-17.07,-41.48,69.94,90,69,6.62,light rain,0,0
37,Hami,CN,2020-01-05 20:43:52,42.84,93.51,18.34,48,73,4.38,broken clouds,0,0
38,Saravan,AM,2020-01-05 20:43:52,39.72,45.65,24.8,85,0,4.7,clear sky,0,0
39,Leningradskiy,RU,2020-01-05 20:43:52,69.38,178.42,-11.0,51,0,1.83,clear sky,0,0
40,Coihaique,CL,2020-01-05 20:43:52,-45.58,-72.07,59.0,54,75,8.05,broken clouds,0,0
41,Bredasdorp,ZA,2020-01-05 20:42:55,-34.53,20.04,68.0,64,100,5.82,overcast clouds,0,0
42,Ponta Do Sol,BR,2020-01-05 20:43:53,-20.63,-46.0,75.29,84,20,4.41,light rain,0,0
43,Nouadhibou,MR,2020-01-05 20:43:53,20.93,-17.03,64.4,48,33,9.17,scattered clouds,0,0
44,Cidreira,BR,2020-01-05 20:43:53,-30.17,-50.22,74.61,82,0,19.3,clear sky,0,0
45,Deputatskiy,RU,2020-01-05 20:43:53,69.3,139.9,-17.63,82,34,0.54,scattered clouds,0,0
46,Fortuna,US,2020-01-05 20:43:53,40.6,-124.16,55.99,87,90,4.56,light rain,0,0
47,Villamontes,BO,2020-01-05 20:43:53,-21.26,-63.47,99.36,21,6,8.03,clear sky,0,0
48,Hamilton,CA,2020-01-05 20:43:53,43.26,-79.87,37.0,80,75,11.41,broken clouds,0,0
49,Kaitangata,NZ,2020-01-05 20:41:03,-46.28,169.85,48.99,73,80,23.0,light rain,0,0
50,Nikolskoye,RU,2020-01-05 20:43:53,59.7,30.79,24.01,79,81,2.24,broken clouds,0,0
51,Mayor Pablo Lagerenza,PY,2020-01-05 20:43:54,-19.93,-60.77,100.11,27,74,11.05,broken clouds,0,0
52,Punta Arenas,CL,2020-01-05 20:40:57,-53.16,-70.91,55.4,54,40,29.97,scattered clouds,0,0
53,Sola,TZ,2020-01-05 20:43:54,-3.17,33.8,66.42,84,89,4.52,overcast clouds,0,0
54,Mahajanga,MG,2020-01-05 20:43:54,-15.72,46.32,78.8,88,20,4.7,few clouds,0,0
55,Chokurdakh,RU,2020-01-05 20:43:54,70.62,147.9,-21.48,99,84,3.83,broken clouds,0,0
56,Katsuura,JP,2020-01-05 20:43:54,33.93,134.5,37.4,73,40,5.82,scattered clouds,0,0
