City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Klaksvik,FO,44.6,broken clouds,62.23,-6.59,Airbnb rooms
1,Rikitea,PF,76.03,clear sky,-23.12,-134.97,Pension Maro'i
3,Punta Arenas,CL,57.2,scattered clouds,-53.16,-70.91,Hotel Dreams Del Estrecho
4,Jamestown,AU,54.68,moderate rain,-33.21,138.6,Jamestown Motel Terraces
6,Albany,US,37.0,scattered clouds,42.65,-73.75,Hilton Albany
7,Lisakovsk,KZ,12.18,clear sky,52.55,62.49,"Gostinitsa ""Kontinent"""
9,Longfeng,CN,51.01,mist,31.05,103.87,龙门客栈
10,Fortuna,US,53.01,few clouds,40.6,-124.16,Super 8 By Wyndham Fortuna
11,Porto Nacional,BR,82.4,scattered clouds,-10.7,-48.41,Vila Real Hotel
12,Busselton,AU,62.01,few clouds,-33.64,115.35,Observatory Guest House
13,Atuona,PF,80.49,clear sky,-9.8,-139.03,Villa Enata
15,Ushuaia,AR,51.8,shower rain,-54.81,-68.31,Albatros Hotel
16,Saldanha,PT,40.14,clear sky,41.42,-6.55,
19,Vaini,IN,66.65,few clouds,15.34,74.49,Dandeli Lake County
20,Bluff,AU,69.67,few clouds,-23.58,149.07,Bluff Hotel
21,Kualakapuas,ID,75.2,overcast clouds,-3.01,114.39,Guest House Izonk
22,Port Alfred,ZA,69.01,light rain,-33.59,26.89,The Halyards Hotel
24,Muisne,EC,80.6,broken clouds,0.61,-80.02,Quinta Samay
25,Gat,SN,84.2,dust,14.69,-16.54,
27,Mount Gambier,AU,48.2,clear sky,-37.83,140.78,Best Western Southgate Motel
29,Cabo San Lucas,MX,80.01,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
30,Mataura,NZ,48.0,light rain,-46.19,168.86,Ellie's Villa
31,Sept-Iles,CA,19.99,scattered clouds,50.2,-66.38,Comfort Inn
32,Arraial Do Cabo,BR,82.4,scattered clouds,-22.97,-42.02,Pousada Porto Praia
33,Bredasdorp,ZA,68.0,overcast clouds,-34.53,20.04,Bredasdorp Country Manor
34,Georgetown,GY,87.8,few clouds,6.8,-58.16,Kanhai's Center
35,Troitskoye,RU,15.66,overcast clouds,52.98,84.68,
36,Taoudenni,ML,63.05,clear sky,22.68,-3.98,
37,Porto Novo,BR,75.2,thunderstorm with light rain,-23.68,-45.44,Harmonia
38,Bhinmal,IN,61.21,clear sky,25.01,72.27,Sanjay Guest House
39,Genhe,CN,4.37,overcast clouds,50.78,121.52,Companionship Hotel
40,Upata,VE,88.34,clear sky,8.02,-62.41,Posada Villa Nela
41,Puerto Escondido,MX,87.8,scattered clouds,15.86,-97.07,Aldea del Bazar Hotel and Spa
42,Saint-Georges,CA,23.0,light snow,46.12,-70.67,"Le Georgesville, centre de congrès et hôtel"
44,Tasiilaq,GL,27.01,snow,65.61,-37.64,The Red House
45,Biak,ID,79.61,light rain,-0.91,122.88,Villa Mas Biak
46,Dikson,RU,16.48,light snow,73.51,80.55,
47,Puerto Ayora,EC,84.2,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
48,Vao,EE,26.69,broken clouds,59.1,26.19,
49,Marrakesh,MA,53.6,scattered clouds,31.63,-7.99,Les Jardins de La Koutoubia
50,Huanren,CN,12.87,overcast clouds,41.26,125.37,Dynasty Wunvshan Ice Chateau
53,Bambous Virieux,MU,73.4,moderate rain,-20.34,57.76,Casa Tia Villa
54,Sao Filipe,CV,72.0,few clouds,14.9,-24.5,Tortuga B&B
55,Spearfish,US,41.0,clear sky,44.49,-103.86,Travelodge by Wyndham Spearfish
56,Saint-Philippe,CA,24.8,overcast clouds,45.36,-73.48,Camping St-Andre
57,Lagoa,PT,57.0,few clouds,37.14,-8.45,Agua Hotels Vale Da Lapa Lagoa
58,Dum Duma,IN,53.37,light rain,27.57,95.57,pushpanjali sweet house
59,Agadez,NE,66.2,clear sky,16.97,7.99,Auberge d'Azel
60,Marzuq,YE,65.25,clear sky,14.4,46.47,
61,Canmore,CA,35.01,clear sky,51.09,-115.35,Blackstone Mountain Lodge by CLIQUE
62,Ola,RU,11.16,scattered clouds,59.58,151.3,
63,Belyy Yar,RU,17.6,mist,53.6,91.39,Pasportnyy Stol
65,Pervomayskoye,RU,24.13,light snow,57.07,86.23,Artlife Zaimka
66,Castro,CL,59.0,broken clouds,-42.48,-73.76,Hotel Esmeralda
67,Charters Towers,AU,69.35,clear sky,-20.07,146.27,Cattleman's Rest Motor Inn
68,Walvis Bay,,64.4,broken clouds,-22.95,14.51,Oyster Box Guesthouse
69,Hermanus,ZA,64.0,overcast clouds,-34.42,19.24,Misty Waves Boutique Hotel
70,Pajapan,MX,71.6,overcast clouds,18.26,-94.69,Hotel Del Carmen
71,Nikolskoye,RU,24.01,few clouds,59.7,30.79,Tourist House - Sablino
72,North Bend,US,52.0,overcast clouds,43.41,-124.22,Red Lion Hotel Coos Bay
73,University Park,US,70.0,clear sky,32.86,-96.79,Hilton Dallas/Park Cities
74,Cidreira,BR,74.44,clear sky,-30.17,-50.22,Pond Country Club
75,Moose Factory,CA,6.8,light snow,51.26,-80.61,Cree Village Eco Lodge
76,Ahipara,NZ,66.0,broken clouds,-35.17,173.16,Ahipara Holiday Park
78,Meulaboh,ID,82.24,overcast clouds,4.14,96.13,Kost Pria
79,Brighton,GB,46.0,broken clouds,50.82,-0.14,Holiday Inn Brighton - Seafront
