City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Dhankuta,NP,38.93,few clouds,26.98,87.34,Hotel Pacific - 3
2,Hithadhoo,MV,81.48,overcast clouds,-0.6,73.08,Scoop Guest House
3,Victoria,BN,80.6,broken clouds,5.28,115.24,Tiara Labuan Hotel
4,Port Elizabeth,US,43.0,overcast clouds,39.31,-74.98,HAMMER RUN
5,Mechetinskaya,RU,38.19,light rain,46.77,40.45,"Stoyanka, Shinomontazh, Dush"
6,Palmer,AU,61.0,clear sky,-34.85,139.16,Palmer Hotel
8,Llanes,ES,46.99,clear sky,43.42,-4.75,Hotel La Paz
9,Dalmatovo,RU,18.39,clear sky,56.26,62.94,Gostinitsa Dlya Palomnikov
12,Rikitea,PF,76.03,broken clouds,-23.12,-134.97,Pension Maro'i
13,Bulancak,TR,39.2,few clouds,40.94,38.23,Ada Loft Aparts
14,Kyshtovka,RU,8.64,overcast clouds,56.56,76.62,Uyutnaya Mini-Hotel
15,Patiya,BD,58.37,clear sky,22.3,91.98,মায়ের স্বপ্ন
16,Thompson,CA,5.0,light snow,55.74,-97.86,Burntwood Hotel
17,Lata,IN,13.3,overcast clouds,30.78,78.62,"The Goat Village, Dayara Bugyal"
18,Rasipuram,IN,71.73,scattered clouds,11.46,78.19,Hotel Shanthi Inn
19,Bambous Virieux,MU,73.4,heavy intensity rain,-20.34,57.76,Casa Tia Villa
21,Constitucion,MX,64.0,clear sky,23.99,-104.67,Hotel Posada San Agustin
22,Punta Arenas,CL,55.4,scattered clouds,-53.16,-70.91,Hotel Dreams Del Estrecho
23,Port Alfred,ZA,68.0,scattered clouds,-33.59,26.89,The Halyards Hotel
24,Ancud,CL,59.0,broken clouds,-41.87,-73.83,HOTEL ANCUD DON LUCAS
25,Namibe,AO,73.89,broken clouds,-15.19,12.15,Chik-Chik Namibe
27,Katsuura,JP,37.4,scattered clouds,33.93,134.5,喜楽の湯
28,Bluff,AU,74.39,clear sky,-23.58,149.07,Bluff Hotel
30,Ushuaia,AR,50.0,shower rain,-54.81,-68.31,Albatros Hotel
31,Husavik,CA,28.99,scattered clouds,50.56,-96.99,Idle Wheels RV Park
32,Atuona,PF,80.56,clear sky,-9.8,-139.03,Villa Enata
33,Cidreira,BR,74.61,clear sky,-30.17,-50.22,Pond Country Club
34,Sao Filipe,CV,70.7,scattered clouds,14.9,-24.5,Tortuga B&B
35,Petropavlovsk-Kamchatskiy,RU,24.8,light snow,53.05,158.65,"ООО ""Гостиничный комплекс ""Петропавловск"""
36,Bambanglipuro,ID,74.89,light rain,-7.95,110.28,Puri Brata
37,Cape Town,ZA,68.0,broken clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
38,San Pedro De Macoris,DO,86.0,few clouds,18.46,-69.3,Apartahotel Guaraguao
39,Flinders,AU,69.01,light rain,-34.58,150.85,Shellharbour Resort & Conference Centre
40,Vaini,IN,66.11,clear sky,15.34,74.49,Dandeli Lake County
41,Mahebourg,MU,73.4,heavy intensity rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
42,Nhulunbuy,AU,80.6,overcast clouds,-12.18,136.78,Gove Peninsula Motel
43,Abrau-Dyurso,RU,44.6,broken clouds,44.7,37.6,Avgustin Inn
44,Antropovo,RU,33.8,broken clouds,55.25,37.65,"Mesherskoye, Gazomagistralnaya, 29"
45,New Norfolk,AU,60.01,scattered clouds,-42.78,147.06,The Shingles Riverside Cottages
46,Mollendo,PE,69.82,broken clouds,-17.03,-72.02,Hostal La Casa de Melgar
47,Atasu,KZ,15.71,clear sky,48.68,71.64,Dostyk
48,Narsaq,GL,15.8,few clouds,60.91,-46.05,Hotel Narsaq
