City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches(last 3hrs),Snow inches(last 3hrs)
0,Tuktoyaktuk,CA,2020-01-04 19:47:41,69.44,-133.03,-23.8,74,40,11.41,scattered clouds,0.0,0.0
1,Cockburn Town,TC,2020-01-04 19:47:41,21.46,-71.14,80.6,69,40,11.41,scattered clouds,0.0,0.0
2,Salinas,US,2020-01-04 19:47:41,36.67,-121.66,62.01,82,75,5.82,broken clouds,0.0,0.0
3,Longyearbyen,NO,2020-01-04 19:47:42,78.22,15.63,3.2,71,40,10.29,scattered clouds,0.0,0.0
4,Puerto Ayora,EC,2020-01-04 19:47:42,-0.74,-90.35,86.0,58,20,13.87,few clouds,0.0,0.0
5,Atuona,PF,2020-01-04 19:47:42,-9.8,-139.03,81.55,68,5,9.24,clear sky,0.0,0.0
6,Kahului,US,2020-01-04 19:47:42,20.89,-156.47,77.0,78,20,18.34,few clouds,0.0,0.0
7,Zhezkazgan,KZ,2020-01-04 19:46:36,47.8,67.71,22.35,96,94,8.63,light snow,0.0,0.0
8,Kapaa,US,2020-01-04 19:47:43,22.08,-159.32,75.2,88,90,19.46,light rain,0.0,0.0
9,Pont-Rouge,CA,2020-01-04 19:47:05,46.76,-71.7,33.8,92,90,1.32,overcast clouds,0.0,0.0
10,Jamestown,AU,2020-01-04 19:47:43,-33.21,138.6,55.47,52,99,15.46,overcast clouds,0.0,0.0
11,Busselton,AU,2020-01-04 19:43:56,-33.64,115.35,57.99,40,0,10.63,clear sky,0.0,0.0
12,Kamiiso,JP,2020-01-04 19:46:31,41.82,140.65,14.79,93,24,2.59,few clouds,0.0,0.0
13,Rikitea,PF,2020-01-04 19:47:44,-23.12,-134.97,77.2,77,67,16.6,broken clouds,0.0,0.0
14,Fremont,US,2020-01-04 19:45:02,37.55,-121.99,61.0,71,40,4.7,scattered clouds,0.0,0.0
15,Mataura,NZ,2020-01-04 19:44:01,-46.19,168.86,51.01,89,98,7.0,overcast clouds,0.0,0.0
16,Port Alfred,ZA,2020-01-04 19:46:12,-33.59,26.89,71.01,98,100,4.41,overcast clouds,0.0,0.0
17,Hobart,AU,2020-01-04 19:47:32,-42.88,147.33,54.0,50,75,4.7,broken clouds,0.0,0.0
18,Naryan-Mar,RU,2020-01-04 19:47:45,67.67,53.09,27.75,85,100,34.49,light snow,0.0,0.0
19,Tasiilaq,GL,2020-01-04 19:44:03,65.61,-37.64,26.6,86,100,11.41,light snow,0.0,0.0
20,Carnarvon,ZA,2020-01-04 19:43:14,-30.97,22.13,72.52,24,0,14.58,clear sky,0.0,0.0
21,Bonavista,CA,2020-01-04 19:47:45,48.65,-53.11,29.03,85,68,9.4,broken clouds,0.0,0.0
22,Bredasdorp,ZA,2020-01-04 19:44:00,-34.53,20.04,68.0,64,25,8.05,scattered clouds,0.0,0.0
23,Anito,PH,2020-01-04 19:47:45,12.45,125.29,80.8,79,63,23.78,moderate rain,0.0,0.0
24,Barra Do Corda,BR,2020-01-04 19:47:46,-5.5,-45.25,72.97,97,100,1.43,light rain,0.0,0.0
25,Lagoa,PT,2020-01-04 19:44:45,37.14,-8.45,55.0,87,0,3.36,clear sky,0.0,0.0
26,Padang,ID,2020-01-04 19:47:46,-0.92,100.36,68.68,92,100,5.53,overcast clouds,0.0,0.0
27,Albany,US,2020-01-04 19:47:46,42.65,-73.75,43.0,86,90,5.82,light intensity drizzle,0.0,0.0
28,Tura,RU,2020-01-04 19:47:46,64.27,100.22,1.31,94,100,6.6,light snow,0.0,0.0
29,Codrington,AU,2020-01-04 19:42:49,-28.95,153.24,71.6,93,0,5.46,clear sky,0.0,0.0
30,Vaini,IN,2020-01-04 19:47:47,15.34,74.49,59.25,75,0,1.34,clear sky,0.0,0.0
31,Ushuaia,AR,2020-01-04 19:43:56,-54.81,-68.31,57.2,41,40,5.82,scattered clouds,0.0,0.0
32,New Norfolk,AU,2020-01-04 19:47:47,-42.78,147.06,54.0,50,75,4.7,broken clouds,0.0,0.0
33,Barrow,AR,2020-01-04 19:47:47,-38.31,-60.23,77.27,55,75,18.05,broken clouds,0.0,0.0
34,Butaritari,KI,2020-01-04 19:47:47,3.07,172.79,84.61,78,38,15.12,scattered clouds,0.0,0.0
35,Husavik,CA,2020-01-04 19:47:47,50.56,-96.99,27.0,93,100,5.99,overcast clouds,0.0,0.0
36,Necochea,AR,2020-01-04 19:43:18,-38.55,-58.74,75.83,56,3,13.33,clear sky,0.0,0.0
37,Saint-Philippe,CA,2020-01-04 19:42:53,45.36,-73.48,34.0,92,90,11.41,light snow,0.0,0.0
