City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches(last 3hrs),Snow inches(last 3hrs)
0,Hithadhoo,MV,2020-01-05 12:40:52,-0.6,73.08,85.28,66,64,5.84,light rain,0,0
1,Dondo,MZ,2020-01-05 12:40:52,-19.62,34.74,89.6,59,20,14.99,few clouds,0,0
2,Saldanha,PT,2020-01-05 12:40:52,41.42,-6.55,46.42,61,0,5.23,clear sky,0,0
3,Jamestown,AU,2020-01-05 12:40:53,-33.21,138.6,54.57,88,100,11.52,light rain,0,0
4,Yellowknife,CA,2020-01-05 12:39:56,62.45,-114.38,-2.0,77,90,6.93,light snow,0,0
5,Khatanga,RU,2020-01-05 12:40:53,71.98,102.47,-17.21,90,0,9.55,clear sky,0,0
6,Busselton,AU,2020-01-05 12:40:53,-33.64,115.35,71.01,28,34,14.99,scattered clouds,0,0
7,Lavrentiya,RU,2020-01-05 12:40:53,65.58,-170.99,-9.22,87,100,10.13,overcast clouds,0,0
8,Palm Coast,US,2020-01-05 12:40:23,29.55,-81.22,46.4,60,1,3.36,clear sky,0,0
9,Hermanus,ZA,2020-01-05 12:40:53,-34.42,19.24,77.0,85,100,7.0,light rain,0,0
10,Barrow,AR,2020-01-05 12:40:53,-38.31,-60.23,65.3,88,98,6.42,overcast clouds,0,0
11,Pimentel,BR,2020-01-05 12:40:53,-3.7,-45.5,79.41,83,96,3.13,overcast clouds,0,0
12,Hilo,US,2020-01-05 12:40:53,19.71,-155.08,73.4,73,90,6.93,overcast clouds,0,0
13,Biguacu,BR,2020-01-05 12:40:53,-27.49,-48.66,82.99,83,20,4.7,few clouds,0,0
14,Kuito,AO,2020-01-05 12:40:53,-12.38,16.94,64.9,84,100,8.9,light rain,0,0
15,Ponta Delgada,PT,2020-01-05 12:40:54,37.73,-25.67,64.4,88,20,14.99,few clouds,0,0
16,Tuktoyaktuk,CA,2020-01-05 12:40:54,69.44,-133.03,-24.65,93,72,5.99,broken clouds,0,0
17,Cape Town,ZA,2020-01-05 12:40:54,-33.93,18.42,77.0,56,40,16.11,scattered clouds,0,0
18,Mataura,NZ,2020-01-05 12:40:54,-46.19,168.86,48.0,86,56,10.0,light rain,0,0
19,Grand Gaube,MU,2020-01-05 12:40:54,-20.01,57.66,79.0,88,75,4.7,light intensity shower rain,0,0
20,Spiez,CH,2020-01-05 12:40:54,46.69,7.68,44.01,81,0,6.93,clear sky,0,0
21,Bethel,US,2020-01-05 12:40:54,60.79,-161.76,-13.0,75,1,3.36,clear sky,0,0
