City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hithadhoo,MV,85.28,light rain,-0.6,73.08,Scoop Guest House
1,Dondo,MZ,89.6,few clouds,-19.62,34.74,Arco Iris
2,Saldanha,PT,46.42,clear sky,41.42,-6.55,
3,Jamestown,AU,54.57,light rain,-33.21,138.6,Jamestown Motel Terraces
6,Busselton,AU,71.01,scattered clouds,-33.64,115.35,Observatory Guest House
8,Palm Coast,US,46.4,clear sky,29.55,-81.22,Fairfield Inn & Suites by Marriott Palm Coast I-95
9,Hermanus,ZA,77.0,light rain,-34.42,19.24,Misty Waves Boutique Hotel
10,Barrow,AR,65.3,overcast clouds,-38.31,-60.23,
11,Pimentel,BR,79.41,overcast clouds,-3.7,-45.5,
12,Hilo,US,73.4,overcast clouds,19.71,-155.08,Hilo Seaside Hotel
13,Biguacu,BR,82.99,few clouds,-27.49,-48.66,Pousada & Café Catarina
14,Kuito,AO,64.9,light rain,-12.38,16.94,HOSPEDARIA DANY E FILHOS
15,Ponta Delgada,PT,64.4,few clouds,37.73,-25.67,Vila Nova Hotel
17,Cape Town,ZA,77.0,scattered clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
18,Mataura,NZ,48.0,light rain,-46.19,168.86,Ellie's Villa
19,Grand Gaube,MU,79.0,light intensity shower rain,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
20,Spiez,CH,44.01,clear sky,46.69,7.68,Parkhotel Gunten
22,Ribeira Grande,PT,64.4,broken clouds,38.52,-28.7,Quinta da Meia Eira
23,Lazaro Cardenas,MX,33.01,clear sky,28.39,-105.62,Hotel Los Naranjos
24,Polillo,PH,78.8,broken clouds,15.46,120.92,Hotel Sogo - Cabanatuan
26,Souillac,FR,48.2,clear sky,45.6,-0.6,Jolysable
27,Hofn,IS,43.93,light rain,64.25,-15.21,Hótel Höfn
28,Bredasdorp,ZA,78.8,overcast clouds,-34.53,20.04,Bredasdorp Country Manor
29,Gwadar,PK,73.83,light rain,25.12,62.33,Sadaf Resort
30,Rikitea,PF,75.6,scattered clouds,-23.12,-134.97,Pension Maro'i
