City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Azuaga,ES,2020-01-04 02:09:08,38.26,-5.68,39.99,91,0,4.0
1,Vestmannaeyjar,IS,2020-01-04 02:09:08,63.44,-20.27,33.89,71,100,37.31
2,Praia Da Vitoria,PT,2020-01-04 02:09:09,38.73,-27.07,55.4,82,75,17.6
3,Busselton,AU,2020-01-04 02:09:07,-33.64,115.35,73.0,22,26,2.39
4,Atuona,PF,2020-01-04 02:09:09,-9.8,-139.03,80.44,73,0,15.73
5,Ushuaia,AR,2020-01-04 02:09:09,-54.81,-68.31,48.2,70,75,14.99
6,Artyom,RU,2020-01-04 02:09:09,43.36,132.19,15.8,61,0,2.24
7,Jamestown,AU,2020-01-04 02:09:08,-33.21,138.6,77.76,42,0,19.73
8,Chuy,UY,2020-01-04 02:09:10,-33.69,-53.46,65.28,82,0,7.96
9,Katsuura,JP,2020-01-04 02:09:10,33.93,134.5,57.0,53,40,9.17
10,Rio Cuarto,AR,2020-01-04 02:06:52,-33.13,-64.35,73.4,60,0,13.87
11,Rikitea,PF,2020-01-04 02:09:10,-23.12,-134.97,79.14,78,94,12.19
12,Cape Town,ZA,2020-01-04 02:09:10,-33.93,18.42,66.0,88,19,16.11
13,Poum,MK,2020-01-04 02:09:10,41.28,20.71,33.39,30,0,1.54
14,Norman Wells,CA,2020-01-04 02:09:11,65.28,-126.83,-25.6,74,20,2.24
15,Neuquen,AR,2020-01-04 02:09:11,-38.95,-68.06,89.6,15,40,18.34
16,Yichang,CN,2020-01-04 02:09:11,30.77,111.32,46.38,52,100,0.45
17,Porto Belo,BR,2020-01-04 02:09:11,-27.15,-48.54,73.4,94,75,11.41
18,Dikson,RU,2020-01-04 02:09:11,73.51,80.55,-9.45,94,6,13.2
19,Nikolskoye,RU,2020-01-04 02:09:11,59.7,30.79,37.4,74,40,8.95
20,Fuerte Olimpo,BR,2020-01-04 02:09:12,-21.04,-57.87,77.18,63,0,3.38
21,Puerto Ayora,EC,2020-01-04 02:09:12,-0.74,-90.35,75.0,83,12,3.0
22,Bambous Virieux,MU,2020-01-04 02:09:12,-20.34,57.76,77.0,94,75,12.86
23,Barrow,AR,2020-01-04 02:09:12,-38.31,-60.23,69.75,65,0,12.68
24,Hilo,US,2020-01-04 02:09:12,19.71,-155.08,82.4,58,1,9.17
25,Punta Arenas,CL,2020-01-04 02:09:13,-53.16,-70.91,51.8,62,75,6.93
26,Mataura,NZ,2020-01-04 02:09:13,-46.19,168.86,54.0,64,35,20.0
27,Mahebourg,MU,2020-01-04 02:09:13,-20.41,57.7,77.0,94,75,7.92
28,Ahipara,NZ,2020-01-04 02:09:13,-35.17,173.16,62.73,73,47,20.62
29,Sterling,US,2020-01-04 02:08:53,39.0,-77.4,55.0,100,90,5.64
30,Upernavik,GL,2020-01-04 02:09:14,72.79,-56.15,-13.41,97,100,17.85
31,Viedma,AR,2020-01-04 02:09:14,-40.81,-62.99,78.1,42,3,18.61
32,Ayorou,NE,2020-01-04 02:09:14,14.73,0.92,54.03,24,5,10.49
33,Bluff,AU,2020-01-04 02:09:14,-23.58,149.07,88.77,35,21,12.86
34,Ilulissat,GL,2020-01-04 02:09:14,69.22,-51.1,12.2,66,100,9.17
35,Hermanus,ZA,2020-01-04 02:09:14,-34.42,19.24,64.0,86,0,1.99
36,Kapaa,US,2020-01-04 02:09:15,22.08,-159.32,80.6,61,20,17.22
37,Tuktoyaktuk,CA,2020-01-04 02:09:15,69.44,-133.03,-22.0,74,20,12.75
38,Port Alfred,ZA,2020-01-04 02:09:15,-33.59,26.89,69.01,98,100,9.51
39,Sanmenxia,CN,2020-01-04 02:09:15,34.77,111.19,43.32,47,100,4.18
40,Itupiranga,BR,2020-01-04 02:09:15,-5.13,-49.33,78.8,100,100,6.29
41,Santa Isabel,MX,2020-01-04 02:09:15,32.63,-115.58,68.0,33,40,3.27
42,Saskylakh,RU,2020-01-04 02:09:15,71.97,114.09,-17.19,97,98,6.06
43,Oparino,RU,2020-01-04 02:09:16,59.85,48.28,30.49,92,100,10.94
44,Nichinan,JP,2020-01-04 02:09:16,31.65,131.31,51.8,50,20,6.93
45,Bredasdorp,ZA,2020-01-04 02:09:16,-34.53,20.04,68.0,68,8,1.12
46,Palaikastron,GR,2020-01-04 02:09:16,35.2,26.25,55.72,70,1,27.11
47,Westport,US,2020-01-04 02:05:26,41.14,-73.36,48.2,93,90,5.82
48,Lebu,ET,2020-01-04 02:09:16,8.96,38.73,50.31,84,0,2.13
49,Pringsewu,ID,2020-01-04 02:09:17,-5.36,104.98,84.49,68,100,1.99
50,Kavieng,PG,2020-01-04 02:09:14,-2.57,150.8,85.03,68,100,4.21
51,Srednekolymsk,RU,2020-01-04 02:09:17,67.46,153.71,0.79,71,43,2.57
52,Mlowo,TZ,2020-01-04 02:09:17,-9.01,33.0,59.54,90,100,1.45
53,Mar Del Plata,AR,2020-01-04 02:09:17,-46.43,-67.52,62.35,59,13,12.84
54,Nouadhibou,MR,2020-01-04 02:09:17,20.93,-17.03,64.4,31,100,14.99
55,Khatanga,RU,2020-01-04 02:09:18,71.98,102.47,-2.99,98,100,5.06
56,Vaini,IN,2020-01-04 02:09:18,15.34,74.49,51.8,100,40,1.45
57,Pevek,RU,2020-01-04 02:09:18,69.7,170.27,-1.75,61,0,4.81
58,Clyde River,CA,2020-01-04 02:09:18,70.47,-68.59,-29.2,66,1,5.82
59,Saint-Philippe,CA,2020-01-04 02:09:18,45.36,-73.48,41.0,100,90,5.26
60,Mattawa,CA,2020-01-04 02:06:13,46.32,-78.7,34.0,86,90,5.82
61,Alexandria,RO,2020-01-04 02:09:13,43.97,25.33,19.99,79,0,8.86
62,Campbell River,CA,2020-01-04 02:09:19,50.02,-125.24,48.2,93,90,28.86
63,Los Llanos De Aridane,ES,2020-01-04 02:09:19,28.66,-17.92,62.6,55,52,10.29
64,Filadelfia,PY,2020-01-04 02:09:19,-22.35,-60.04,77.76,49,0,5.61
65,Luwingu,ZM,2020-01-04 02:09:19,-10.26,29.92,62.42,96,100,2.01
66,Marsh Harbour,BS,2020-01-04 02:09:19,26.54,-77.06,76.21,82,58,14.54
67,General Roca,AR,2020-01-04 02:09:19,-39.03,-67.58,89.6,15,40,18.34
68,Ferkessedougou,CI,2020-01-04 02:09:20,9.6,-5.2,61.54,15,0,7.02
69,Vostok,RU,2020-01-04 02:09:20,46.45,135.83,0.37,83,0,3.94
70,Solnechnyy,RU,2020-01-04 02:09:20,50.72,136.64,-2.63,89,0,3.71
71,Tura,RU,2020-01-04 02:09:20,64.27,100.22,-6.57,99,100,1.12
72,Port Elizabeth,US,2020-01-04 02:09:20,39.31,-74.98,50.0,93,90,3.87
73,Hobart,AU,2020-01-04 02:09:20,-42.88,147.33,80.6,34,93,21.92
74,Veraval,FR,2020-01-04 02:09:20,49.65,0.71,44.6,93,72,3.36
75,Kharp,RU,2020-01-04 02:09:21,66.82,65.8,-1.21,99,100,5.23
76,Albany,US,2020-01-04 02:08:41,42.65,-73.75,43.0,93,90,1.63
77,Tiksi,RU,2020-01-04 02:09:21,71.64,128.87,-17.55,85,100,8.41
78,Longyearbyen,NO,2020-01-04 02:09:21,78.22,15.63,6.8,55,75,16.11
79,Sitka,US,2020-01-04 02:09:21,37.17,-99.65,33.01,66,0,6.31
80,Coquimbo,CL,2020-01-04 02:09:22,-29.95,-71.34,60.8,82,90,3.36
81,Fortuna,US,2020-01-04 02:09:21,40.6,-124.16,57.0,54,1,3.36
82,Roura,GF,2020-01-04 02:06:05,4.73,-52.33,78.8,83,100,3.36
83,Lompoc,US,2020-01-04 02:09:22,34.64,-120.46,62.6,41,1,6.93
84,Mantua,IT,2020-01-04 02:09:22,45.16,10.79,45.0,88,40,2.24
85,Petropavlovsk-Kamchatskiy,RU,2020-01-04 02:09:22,53.05,158.65,14.0,85,75,6.71
86,Pedernales,EC,2020-01-04 02:09:22,0.07,-80.05,73.36,92,100,3.24
87,Naze,NG,2020-01-04 02:09:23,5.43,7.07,72.54,26,98,8.84
88,Castro,CL,2020-01-04 02:09:20,-42.48,-73.76,53.6,66,4,11.41
89,Port Hedland,AU,2020-01-04 02:09:23,-20.31,118.58,93.2,46,40,10.29
90,Yellowknife,CA,2020-01-04 02:08:26,62.45,-114.38,-5.8,76,40,6.93
91,Athens,GR,2020-01-04 02:07:31,37.98,23.73,48.2,36,20,3.36
92,Samarai,PG,2020-01-04 02:09:23,-10.62,150.67,85.1,71,89,4.99
93,Dingle,PH,2020-01-04 02:09:24,11.0,122.67,79.39,83,47,13.11
94,Puerto Montt,CL,2020-01-04 02:09:24,-41.47,-72.94,57.2,87,75,11.41
95,Berlevag,NO,2020-01-04 02:09:24,70.86,29.09,36.09,78,43,21.36
96,Saint George,GR,2020-01-04 02:04:30,39.45,22.34,37.0,85,0,1.88
97,Sieradz,PL,2020-01-04 02:09:24,51.6,18.74,42.01,93,75,13.87
98,Carutapera,BR,2020-01-04 02:09:24,-1.2,-46.02,82.02,77,6,8.39
99,Avarua,CK,2020-01-04 02:09:25,-21.21,-159.78,80.6,74,8,16.11
100,Chuzhou,CN,2020-01-04 02:09:25,32.25,118.33,46.99,94,100,4.34
101,Darhan,MN,2020-01-04 02:09:25,49.49,105.92,4.23,79,0,1.81
102,Noumea,NC,2020-01-04 02:08:46,-22.28,166.46,89.6,46,20,18.34
103,Zhanakorgan,KZ,2020-01-04 02:09:25,43.91,67.25,35.78,95,100,12.55
104,Vila Velha,BR,2020-01-04 02:09:25,-3.71,-38.6,86.0,78,20,4.7
105,Airai,TL,2020-01-04 02:09:26,-8.93,125.41,69.31,92,100,6.33
106,Grand-Santi,GF,2020-01-04 02:09:26,4.27,-54.38,69.82,96,55,1.59
107,Qaanaaq,GL,2020-01-04 02:09:15,77.48,-69.36,-40.36,97,100,5.57
108,Abha,SA,2020-01-04 02:09:26,18.22,42.5,55.4,62,85,1.01
109,Fasa,IR,2020-01-04 02:09:26,28.94,53.65,48.2,93,90,4.5
110,Fuerte,PH,2020-01-04 02:09:26,17.54,120.36,82.49,53,0,5.1
111,Thompson,CA,2020-01-04 02:09:26,55.74,-97.86,6.8,84,20,5.82
112,Arraial Do Cabo,BR,2020-01-04 02:09:27,-22.97,-42.02,77.0,88,75,4.7
113,Codrington,AU,2020-01-04 02:09:27,-28.95,153.24,91.4,29,0,6.93
114,Usinsk,RU,2020-01-04 02:09:27,66.0,57.56,32.52,97,100,16.58
115,Carnarvon,ZA,2020-01-04 02:09:27,-30.97,22.13,61.65,79,0,8.57
116,Taltal,CL,2020-01-04 02:09:27,-25.41,-70.49,56.98,90,1,1.45
117,Manuk Mangkaw,PH,2020-01-04 02:09:27,4.8,119.85,82.87,75,89,12.3
118,Mount Gambier,AU,2020-01-04 02:09:28,-37.83,140.78,60.8,72,75,18.34
119,Hervey Bay,AU,2020-01-04 02:09:28,-25.3,152.85,86.0,48,40,8.05
120,Nanortalik,GL,2020-01-04 02:09:28,60.14,-45.24,28.45,63,100,5.86
121,Hasaki,JP,2020-01-04 02:06:52,35.73,140.83,50.0,52,75,8.05
122,Fairbanks,US,2020-01-04 02:09:28,64.84,-147.72,-23.8,67,1,4.14
123,Arraias,BR,2020-01-04 02:09:28,-12.93,-46.94,69.62,98,100,5.08
124,Vila Franca Do Campo,PT,2020-01-04 02:09:28,37.72,-25.43,62.6,77,75,9.17
125,Imeni Poliny Osipenko,RU,2020-01-04 02:09:29,52.42,136.49,-3.71,87,0,5.32
126,Kodiak,US,2020-01-04 02:09:29,39.95,-94.76,37.4,64,40,12.75
127,Ocampo,MX,2020-01-04 02:09:29,27.32,-102.4,40.42,72,0,4.81
128,Santa Cecilia,CR,2020-01-04 02:09:29,9.85,-84.31,71.6,94,40,4.7
129,Modakeke,NG,2020-01-04 02:09:29,7.38,4.27,65.07,24,83,3.96
